"picnicgrove_id","preserve_name","grove","capacity","large_capacity","grove_type","location","accessible","parking_to_shelter","shelter_to_bathroom","bathroom_type","poi_info_id","geom"
1,Busse Lake Boating Center,21,100,no,no shelter,"Elk Grove Twp, IL",0,,,,189,SRID=4326;POINT (-88.02701773075084 42.028110120138855)
2,Busse Lake Boating Center,22,100,no,no shelter,"Elk Grove Twp, IL",0,,,,189,SRID=4326;POINT (-88.02445900165071 42.02752337390778)
3,Busse Lake Boating Center,23,100,no,no shelter,"Elk Grove Twp, IL",0,,,,189,SRID=4326;POINT (-88.02376912053596 42.02683447218851)
6,Harms Woods-North,6,100,no,no shelter,"Niles Twp, IL",0,,,,271,SRID=4326;POINT (-87.7699468666596 42.06138065232166)
7,Harms Woods-Central,4,200,no,no shelter,"Niles Twp, IL",0,,,,272,SRID=4326;POINT (-87.76997529641498 42.060500006767796)
8,Whistler Woods,2,200,no,no shelter,"Village of Riverdale, IL",0,,,,141,SRID=4326;POINT (-87.63987640832262 41.65445683468199)
9,Bemis Woods-South,6,100,no,shelter,"Proviso Twp, IL",1,85,80,portable,250,SRID=4326;POINT (-87.90649130228235 41.82203274908895)
10,North Creek Meadow,1,200,yes,shelter,"Lansing, IL",0,,,,164,SRID=4326;POINT (-87.56179992444237 41.54376190450189)
11,North Creek Meadow,2,200,yes,shelter,"Lansing, IL",0,,,,164,SRID=4326;POINT (-87.5602329362124 41.54440330237628)
12,Jurgensen Woods,1,300,no,shelter,"Bloom Twp, IL",0,,,,162,SRID=4326;POINT (-87.59033041081531 41.55192176615824)
13,Jurgensen Woods,2,300,no,shelter,"Bloom Twp, IL",0,,,,162,SRID=4326;POINT (-87.5890431276268 41.54991048108428)
14,Potawatomi Woods,1,399,no,shelter,"Wheeling Twp, IL",1,380,335,portable,206,SRID=4326;POINT (-87.90219077788905 42.141369211884054)
15,Dam No. 1 Woods-East,2,250,no,shelter,"Wheeling Twp, IL",0,,,,317,SRID=4326;POINT (-87.8941497082638 42.122277097470274)
16,Bemis Woods-North,4,300,no,shelter,"Proviso Twp, IL",0,,,,390,SRID=4326;POINT (-87.90766679643907 41.82962078922813)
17,Bemis Woods-North,1,150,no,shelter,"Proviso Twp, IL",0,,,,390,SRID=4326;POINT (-87.90213864879382 41.82884323814514)
18,Bemis Woods-South,5,350,no,shelter,"Proviso Twp, IL",0,,,,250,SRID=4326;POINT (-87.90174748397229 41.82150877831992)
