"poi_info_id","point_type","public_access","latitude","longitude","web_poi","web_street_addr","web_muni_addr","parking_connection_id","parking_info_id","maintenance_div","maintenance_div_nickname","name","alt_name","alt2_name","accessible","bike_parking","bike_rental","birding","boat_ramp","boat_rental","camping","canoe","comfortstation","cross_country","cycling","disc_golf","dog_friendly","dog_leash","drinkingwater","driving_range","drone","ecological","equestrian","fitness_stairs","fishing","ice_fishing","gas_powered","golf","hiking","indoor_rental","large_capacity","m_airplane","m_boat","nature_center","nature_preserve","natureplay","no_alcohol","no_dogs","no_fishing","no_parking","overlook","pavilion","public_building","picnic_grove","shelter","skating_ice","skating_inline","sledding","snowmobile","swimming","toboggan","volunteer","zip_line","bathroom_building_winter","bathroom_building_summer","bathroom_building_ada","bathroom_portable_summer","bathroom_portable_winter","bathroom_portable_ada","shower","dining_hall","sanitation_station","camp_store","accessible_shelter","accessible_canoe","accessible_boat","accessible_fishing","accessible_campsite","fall_color","web_map_geom","geom"
2,nature preserve,,41.6784402784059,-87.8936629947387,yes,,"Cook County, IL 60464",61,0,Palos,,Cap Sauers Holding Nature Preserve,Palos,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.89366299473869 41.67844027840586)
3,nature preserve,,41.7093005567515,-87.8628168865171,yes,,"Cook County, IL 60480",67,0,Palos,,Cranberry Slough Nature Preserve,Palos,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.86281688651705 41.70930055675152)
12,golf course,,41.6001490639545,-87.7638582069222,yes,"16310 S Central Ave","Oak Forest, IL 60452",,280,Tinley Creek,,George W. Dunne National Golf Course,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.76385820692215 41.60014906395447)
13,activity area,,41.7324336383075,-87.6807221456909,yes,"S Western Ave, south of W 87th St","Chicago, IL 60620",,135,Calumet,,Dan Ryan Woods-South,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.6807221456909 41.73243363830754)
15,aquatic center,yes,41.6026404371266,-87.5534210747999,yes,"1100 River Oaks Drive","Calumet City, IL 60409",,90,Thorn Creek ,,Green Lake Family Aquatic Center,Green Lake Pool,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.55342107479994 41.60264043712662)
16,nature preserve,,41.6280980643771,-87.5462221613679,yes,"","Calumet City, IL 60409",,0,Thorn Creek ,,Calumet City Prairie & Marsh Nature Preserve,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.54622216136791 41.6280980643771)
19,activity area,,41.6180913233733,-87.5458031363016,yes,,"Calumet City, IL 60409",,0,Thorn Creek ,,Wentworth Prairie,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.54580313630163 41.61809132337329)
20,activity area,,41.6347368016934,-87.6592241700085,yes,"Wood St, south of Thornton Rd","Dixmoor, IL 60426",,323,Calumet,,Dixmoor Playfield,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.65922417000846 41.634736801693435)
21,activity area,,41.5003807087473,-87.6494012999376,yes,,"Chicago Heights, IL 60411",,0,Thorn Creek ,,Indian Hill Woods,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.64940129993755 41.50038070874734)
22,activity area,,41.571577200689,-87.5919974703953,yes,"Thornton-Lansing Rd, west of IL-394","Cook County, IL 60476",,113,Thorn Creek ,Wampum,Wampum Lake,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,,POINT (-87.59199747039531 41.571577200688964)
23,activity area,,42.0599441421836,-87.7123799219771,yes,Ewing Ave &amp; Grant St,"Evanston, IL 60201",,0,North Branch,,Perkins Woods,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.71237992197707 42.05994414218359)
27,activity area,,41.4947054229039,-87.5428955969306,yes,"Burnham Ave, south of E Sauk Trail","Cook County, IL 60411",,330,Thorn Creek ,,Michael J. O'Malley Preserve,O'Malley Ponds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.54289559693058 41.49470542290388)
28,activity area,,41.4846308474113,-87.5337460697741,yes,"Burnham Ave, north of 223rd St","Cook County, IL 60411",,103,Thorn Creek ,Plum Creek,Plum Creek Meadow,,,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,POINT (-87.53374606977408 41.48463084741129)
29,activity area,,42.0477924214533,-88.0226419129759,yes,"Golf Rd, east of I-290/Hwy 53","Cook County, IL 60007",,143,Northwest,,Ned Brown Meadow,Busse Woods,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-88.02264191297586 42.04779242145334)
30,nature preserve,,42.045144277236,-88.0049375571207,yes,,"Cook County, IL 60007",316,0,Northwest,,Busse Forest Nature Preserve,Busse Woods,Ned Brown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-88.00493755712068 42.04514427723596)
31,activity area,,42.0248840654328,-87.9928974822813,yes,"E Higgins Rd/Rte 72, west of N Arlington Heights Rd","Cook County, IL 60007",,312,Northwest,,Busse Forest-South,Busse Woods,Ned Brown,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,POINT (-87.99289748228125 42.02488406543277)
34,activity area,,42.0093927955333,-87.8573902373623,yes,"E Touhy Ave, east of Talcott Rd","Park Ridge, IL 60068",,21,Indian Boundary,,John E. Traeger Family Picnic Area,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.85739023736232 42.00939279553327)
35,activity area,,42.0398829309931,-88.1507147384845,yes,"E Bode Rd, west of S Barrington Rd","Hoffman Estates, IL 60107",,333,Northwest,,Bode East,Arthur L. Janura Preserve,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-88.15071473848447 42.039882930993095)
39,activity area,,41.88344891269,-87.8276994451371,yes,,"River Forest, IL 60305",,0,Indian Boundary,,G.A.R. Woods,Grand Army of the Republic Woods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.82769944513711 41.88344891268996)
40,activity area,,41.8805970783348,-87.8266900165326,yes,,"River Forest, IL 60305",,0,Indian Boundary,,Thomas Jefferson Woods,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.82669001653261 41.88059707833482)
41,special activity,,41.8328520584043,-87.8359964800037,yes,"3300 Golf Rd","Brookfield, IL 60513",,337,Salt Creek,,Brookfield Zoo Chicago,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.83599648000367 41.83285205840433)
42,activity area,,41.8474524561768,-87.8690492912181,yes,"W Cermak Rd, east of S Manheim Rd/S La Grange Rd","Cook County, IL 60526",,11,Salt Creek,Westchester,Westchester Woods,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.86904929121813 41.847452456176754)
43,nature preserve,,41.8385172657026,-87.9046266903584,yes,"31st St, west of Wolf Rd","Cook County, IL 60154",,251,Salt Creek,,Wolf Road Prairie Nature Preserve,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.90462669035836 41.83851726570257)
44,aquatic center,yes,41.8189766941128,-87.8117771381532,yes,"7600 W Ogden Ave","Lyons, IL 60534",,336,Salt Creek,The Pool,Cermak Family Aquatic Center,Cermak Pool,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-87.81460917711742 41.820201359608305),POINT (-87.8117771381532 41.81897669411284)
46,activity area,,42.1335743692257,-87.8051695640778,yes,,"Northbrook, IL 60062",,0,North Branch,,Chipilly Woods,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.80516956407777 42.13357436922568)
47,activity area,,42.1423442131077,-87.8299956210892,yes,,"Cook County, IL 60062",163,0,North Branch,,Somme Prairie Grove Nature Preserve,Somme Woods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.82999562108918 42.142344213107684)
49,activity area,,42.150478421554,-87.7786838758565,yes,,"Glencoe, IL 60022",,0,North Branch,,Mary Mix McDonald Woods,William N. Erickson Preserves,Skokie Lagoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.77868387585652 42.15047842155402)
50,activity area,,42.0923959946188,-87.7731923577861,yes,,"Cook County, IL 60093",,0,North Branch,,Watersmeet Woods,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.7731923577861 42.092395994618755)
51,golf course,,41.9929601588227,-87.7705130130415,yes,"6100 N Central Ave","Chicago, IL 60646",,242,North Branch,,Edgebrook Golf Course,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-87.76618796358548 41.99046836077948),POINT (-87.77051301304148 41.99296015882269)
52,activity area,,41.9890384355589,-87.7642791595144,yes,"N Central Ave, north of N Elston Ave","Chicago, IL 60646",,121,North Branch,,"Thaddeus S. ""Ted"" Lechowicz Woods",Indian Road Woods,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.7642791595144 41.9890384355589)
55,activity area,,41.721006729517,-87.8485448767528,yes,"S Kean Ave, north of W 95th St","Cook County, IL 60480",,320,Palos,,Hidden Pond Woods-East,Palos,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.84854487675275 41.72100672951703)
56,activity area,,41.9766177219072,-87.7450924247839,yes,"N Cicero Ave, north of W Foster Ave","Chicago, IL 60630",,124,North Branch,,LaBagh Woods,Sauganash Prairie,,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,POINT (-87.74509242478392 41.97661772190718)
58,activity area,yes,41.7094065907751,-87.8729945846751,yes,"Willow Springs Rd, south of 95th St","Cook County, IL 60480",,192,Palos,,Camp Kiwanis Equestrian Staging Area,Palos,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,POINT (-87.87299458467513 41.709406590775096)
