"trail_info_id","trail_system","trail_subsystem","trail_subsystem_id","trail_name","trail_color","trail_surface","trail_type","trail_difficulty","regional_trail_name","trail_desc","alt_name","cambr_name","on_street","crossing_type","length_mi","off_fpdcc","web_trail","length_ft","segment_type","direction","width","hiking","biking","cross_country","equestrian","dog_leash","no_dogs","geom"
1,palos,Palos Trail System,22,,yellow,unknown,single track,,,,,Bull Whip,no,none,0.073,no,yes,385.55,,south,0.0,1,1,1,1,1,0,"LINESTRING (-87.89443553988747 41.705567548015466, -87.8944154780636 41.70552893995993, -87.89435715697452 41.70548602685566, -87.8943291284012 41.70545772203855, -87.89431535406365 41.7054383600905, -87.89429617287928 41.7053720834022, -87.89428414892174 41.70532788180787, -87.89426995326487 41.70528830947436, -87.8942734232736 41.70525920549054, -87.89428624373915 41.70523841265654, -87.89429079294288 41.7052279082725, -87.89427300057852 41.70521331531392, -87.89423892580918 41.70518134189183, -87.89419755607713 41.70512587714998, -87.89413474077293 41.70505347562826, -87.89411551816757 41.70499332869321, -87.8941182349154 41.70495472041764, -87.89412746625764 41.704920428001834, -87.89414650911301 41.70488678607657, -87.89415912078155 41.70483656871671, -87.89415549810538 41.704767899476785, -87.89417872252862 41.70472078764398, -87.89421251798981 41.704682911118816, -87.89427841029821 41.704616346467624)"
3,sag valley,Sag Valley Trail System,29,,red,unknown,unpaved,intermediate,,,,,no,none,1.085,no,yes,5729.07,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.89276700801054 41.644430486098486, -87.89417845865498 41.64436354356591, -87.90534589540934 41.6442234626288, -87.90554884672731 41.644323358462444, -87.90557291034143 41.64446545885571, -87.90572221154306 41.644575872165795, -87.9067936357547 41.64460932678025, -87.90723323011699 41.644576124247926, -87.90748901609177 41.64424749871396, -87.907600173152 41.64418360438693, -87.90802554608734 41.64413962869494, -87.91067255207672 41.6441306350977, -87.91110084622575 41.64418579913214, -87.91155456699892 41.64417674673448, -87.91183259156983 41.644268867294194, -87.91188093945753 41.645224417335314, -87.91190463641084 41.64523670692889)"
4,sag valley,Sag Valley Trail System,29,,brown,unknown,unpaved,intermediate,,,,,no,none,2.926,no,yes,15449.98,loop,west,0.0,1,1,1,1,1,0,"LINESTRING (-87.92175703586638 41.65489392480319, -87.92184057154009 41.655207456382676, -87.92186104642677 41.65550519235238, -87.92186442152203 41.656305465358926, -87.92159808850515 41.65665274657789, -87.92150135155485 41.65671981250099, -87.92127166802408 41.65682652829008, -87.92108165923233 41.656874276026706, -87.92070574048928 41.65696895339254, -87.92039700323063 41.65700711571852, -87.919088982041 41.657260890330036, -87.91848598643125 41.65752546913945, -87.91769711849456 41.657719508148354, -87.91734117289097 41.65798727354985, -87.91721242968208 41.6580381694136, -87.91715856273386 41.658094151442036, -87.91709239717967 41.658250828267676, -87.9170712798723 41.65835385488322, -87.9170964044562 41.658440619035396, -87.91714049863052 41.658576882988726, -87.91715917630867 41.65873188122252, -87.91718308498558 41.65883841670433, -87.91724359450991 41.65893559913457, -87.91725879244265 41.6589762312117, -87.91724377821994 41.65901622694672, -87.91721800655571 41.65908991012302, -87.91720441897544 41.65926743801532, -87.91711760184573 41.65959738786625, -87.91717577520403 41.66030127218006, -87.91717286081469 41.66052747170035, -87.91717687309361 41.66067648212633, -87.9171552531812 41.66097836031943, -87.91716276620947 41.66112119764656, -87.91719497639653 41.661357398892996, -87.9171835433985 41.661495951817294, -87.91714923627733 41.66158541327905, -87.91710326480576 41.6617401773359, -87.9170571266242 41.661811678786854, -87.9168734277412 41.66200363579861, -87.9167817311312 41.662102221644815, -87.91674052661756 41.66218553530193, -87.91673791039436 41.66225935846673, -87.91675672873477 41.66232844414562, -87.91685630146911 41.66248770567814, -87.91693444002989 41.662651704643544, -87.91697648220284 41.66277063119414, -87.9169691921236 41.6628078690803, -87.91692894945903 41.66283947646892, -87.91673566436342 41.662939894681834, -87.916567884709 41.66305904439002, -87.91649735371837 41.66307175401082, -87.9164242696319 41.66307148894193, -87.91628499950811 41.66304276721471, -87.91603228582268 41.662921566398495, -87.91592229496166 41.662877134625866, -87.91577394164987 41.66278530912184, -87.91570271617742 41.66272598251312, -87.91562710418783 41.66268060140667, -87.91549253159207 41.66267259454642, -87.91510694149741 41.66274667118111, -87.91463478997807 41.66287352569057, -87.9142333090342 41.662946165757866, -87.91405491039187 41.66302229392732, -87.91375732166127 41.66319904327561, -87.91341639389157 41.66352806493322, -87.91314284776679 41.66391449076927, -87.91306317240681 41.66427467801694, -87.91290524189698 41.66477456590658, -87.91290507677336 41.66531090071396, -87.91293685504955 41.6654190576144, -87.91300928262112 41.66551383098761, -87.91309819047335 41.66557200828039, -87.91567332072229 41.665536936666385, -87.91588531302496 41.66549959930839, -87.91604746931685 41.665309649956335, -87.91604927366427 41.66503020104653, -87.9161523478408 41.664808280649396, -87.91650009961374 41.66473332594843, -87.91691528171332 41.664709427032655, -87.91728766583756 41.66475523420715, -87.91757465712534 41.66490870269484, -87.91766635513696 41.66513767936571, -87.91766521135564 41.66531551183473, -87.91783350507512 41.66548760443103, -87.92190823937092 41.66538793915081, -87.92223110573137 41.66523031257614, -87.92228370111596 41.66495104519319, -87.92225462988685 41.664195140829754, -87.92292692254266 41.66401080846603, -87.92305915864164 41.663964611024596, -87.92319172624902 41.66386614473305, -87.92329659004614 41.66381798255811, -87.92342621767193 41.66379044320143, -87.92357061602401 41.663789091298554, -87.92381954646781 41.6637918452609, -87.92425282421614 41.66377472034926, -87.92452433656446 41.663749551431756, -87.9248032697693 41.66373187537509, -87.92502715113307 41.66374138135289, -87.92517896013017 41.66376681215569, -87.92570096176881 41.66389187221046, -87.92612635981202 41.66394004964375, -87.92642741622184 41.663967250779116, -87.9266362347092 41.66401465938633, -87.92675324275707 41.66402060318282, -87.92702181507192 41.66406082582705, -87.92719108486924 41.66406329085774, -87.92728346368902 41.66402068127186, -87.92732375196582 41.66394801911385, -87.927282158803 41.663832131726195, -87.92725115683596 41.66361547553296, -87.92726472985977 41.663436312445505, -87.9274858610435 41.66310853987907, -87.92735605521388 41.66244126881797, -87.92741681709117 41.662206485752684, -87.92794520448653 41.66131618327947, -87.92812079162836 41.66110398923488, -87.928123948002 41.660997593760015, -87.92808216799767 41.66091157446495, -87.92795659450024 41.66069085131046, -87.92774924990695 41.66041010245263, -87.92737141278013 41.65992713862353, -87.9273518854879 41.65986546581871, -87.92737728233604 41.65978528385648, -87.92745781769973 41.65972328415575, -87.92764195333255 41.65965741031604, -87.92776696705681 41.659570112694254, -87.92782245687667 41.65945456793049, -87.92784242276818 41.65904954644137, -87.92780322730458 41.65894860186978, -87.9276335383369 41.658714052142, -87.92753137995314 41.65863402284727, -87.92741222535963 41.658581332176176, -87.92716880929778 41.65849646703292, -87.92703742035964 41.65841013063995, -87.92673830214498 41.65831711032094, -87.92652801205767 41.65826832009687, -87.92639614263516 41.65825851938624, -87.92545718030301 41.65833919650518, -87.92495455970861 41.65830567650943, -87.92449399649115 41.65831337315179, -87.92441461330465 41.65827015474724, -87.92438766893899 41.658200987903506, -87.92439341147886 41.65815001019861, -87.92444714055277 41.65785024420501, -87.92444182196218 41.6575104706896, -87.92441530533203 41.65698020980558, -87.92438128371641 41.65684941390337, -87.92431246137167 41.65671102701996, -87.92419418722093 41.65652019413009, -87.92412117904098 41.656256717702455, -87.92402328022196 41.65599315258396, -87.92400926739903 41.655847493527546, -87.92403800681257 41.655632915696145, -87.9241134835787 41.6555062431112, -87.92433583563131 41.655202813963705, -87.92437985560537 41.65510769931258, -87.9243539795002 41.65501233997835, -87.9243086404874 41.654954369598606, -87.92421908633655 41.65491659065937, -87.9239930588706 41.65486924086885, -87.92378660719656 41.654846104044324, -87.92356733333897 41.654863458481636, -87.92299720212281 41.654901158960556, -87.92182914194166 41.654906317069354, -87.92175703586638 41.65489392480319)"
5,sag valley,Sag Valley Trail System,29,,red,unknown,unpaved,intermediate,,,,,no,road,0.010,no,yes,53.17,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.91190463641084 41.64523670692889, -87.91206463740419 41.6453196855815)"
6,sag valley,Sag Valley Trail System,29,,red,unknown,unpaved,intermediate,,,,,no,none,0.972,no,yes,5129.96,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.91206463740419 41.6453196855815, -87.91212144928822 41.645349148878765, -87.91220929919353 41.64551142904251, -87.91223930821843 41.64675480339355, -87.91228232829604 41.646818105540866, -87.91237679858446 41.646868746277995, -87.91259138757049 41.64693716968441, -87.91286686626299 41.646933348157795, -87.91354190342321 41.646905958939755, -87.91418723830806 41.646870159309735, -87.91447423581302 41.64682611364568, -87.91475218643689 41.64675081690041, -87.91529546543335 41.64652778586197, -87.91620271596075 41.64596449354013, -87.91636776573627 41.64583783248364, -87.91655769171152 41.645642032004154, -87.91664933655466 41.64553241170512, -87.91678836222303 41.6454661892179, -87.91823071587099 41.64508814232195, -87.91858005765795 41.645006938928006, -87.91947592335357 41.644785172373275, -87.92011606279733 41.64465003463946, -87.92056988774773 41.644572254977604, -87.92083504272156 41.64449583277832, -87.92108660525275 41.64442241545704, -87.92119246960722 41.64442279507913, -87.9212601302911 41.644454598116894, -87.92135327373943 41.644534342182375, -87.9214284685602 41.64466187158724, -87.92148811811306 41.64488606278396, -87.92151536222343 41.64512596169766, -87.92151858164924 41.64607019809862, -87.92154281398271 41.64631462390256, -87.92151128879482 41.646551710287916, -87.92151005830522 41.646982366406284, -87.92158238330687 41.64739996131754, -87.92169561805416 41.64940223630858, -87.92172599365513 41.64948416508586)"
7,sag valley,Sag Valley Trail System,29,,red,unknown,unpaved,intermediate,,,,,no,none,0.280,no,yes,1479.15,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.92179818582905 41.65110717836264, -87.9218188171971 41.65154233378308, -87.92179343460757 41.65161971450142, -87.92167258509012 41.65185253280832, -87.92165077627668 41.65193842393796, -87.92165891120547 41.65202899215877, -87.92169621155554 41.65213207423141, -87.92175048264758 41.6522672436786, -87.9217938415592 41.65242302219847, -87.92178496925712 41.65257267388032, -87.92176970830073 41.65273061842954, -87.92172782307027 41.65284094908378, -87.92167345538527 41.65292153592192, -87.92153132410778 41.653107536901246, -87.92128602557997 41.65331811557768, -87.921201304695 41.653438984136145, -87.92116087322289 41.65356951516326, -87.92115379527534 41.65368591021816, -87.92115782006798 41.653799969156935, -87.92118098856842 41.65389271339428, -87.92125311404511 41.65399512937345, -87.92132512960009 41.65414151453346, -87.92137648419025 41.6542854421852, -87.92139928229024 41.654436395253875, -87.92143420040578 41.65451076938291, -87.92161516798362 41.65469647097971, -87.9217065386374 41.65481067207359, -87.92175703586638 41.65489392480319)"
8,sag valley,Sag Valley Trail System,29,,red,unknown,unpaved,intermediate,,,,,no,road,0.011,no,yes,58.12,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.92187403510812 41.65095817924686, -87.92179818582905 41.65110717836264)"
9,des plaines,Des Plaines River Trail System,11,,yellow,unknown,unpaved,easy,Des Plaines River Trail,,,,no,none,0.187,no,yes,989.65,,,0.0,1,1,1,1,1,0,"LINESTRING (-87.84666393104855 41.98093742808317, -87.84672294296561 41.980937695018795, -87.84731607508404 41.98093057537692, -87.84827928549382 41.98088932094353, -87.84997605129868 41.9808488829264, -87.85030109918968 41.98084458502246)"
12,des plaines,Des Plaines River Trail System,11,,yellow,cement,paved,easy,Des Plaines River Trail,,,,no,underpass,0.040,no,yes,211.93,,,0.0,1,1,1,0,1,0,"LINESTRING (-87.86629140685729 42.017606559868966, -87.86676862096994 42.018066539309096)"
13,des plaines,Des Plaines River Trail System,11,,yellow,cement,paved,easy,Des Plaines River Trail,,,,no,none,0.025,no,yes,133.19,,,0.0,1,1,1,0,1,0,"LINESTRING (-87.86676862096994 42.018066539309096, -87.86693352727963 42.018271477196144, -87.86701154957252 42.01838380669854)"
